lambda_1, lambda_2, entropy
0.05, 0.05, 12.155304309814184
0.05, 0.10, 11.79743973958168
0.05, 0.15, 11.59724364498835
0.05, 0.20, 11.46730870894414
0.05, 0.25, 11.378581957901913
0.05, 0.30, 11.3179248607334
0.05, 0.35, 11.278458421142147
0.05, 0.40, 11.256340456127946
0.05, 0.45, 11.249455107306396
0.05, 0.50, 11.256829249602411
0.05, 0.55, 11.278388356881214
0.05, 0.60, 11.314917861584128
0.05, 0.65, 11.368206737175871
0.05, 0.70, 11.441437164238184
0.05, 0.75, 11.540026836630815
0.05, 0.80, 11.67349441382502
0.05, 0.85, 11.860119563871558
0.05, 0.90, 12.141420049609133
0.05, 0.95, 12.650537307042654
0.10, 0.05, 11.672243437528557
0.10, 0.10, 11.347344592818793
0.10, 0.15, 11.16179631146703
0.10, 0.20, 11.040376022855787
0.10, 0.25, 10.957288683615799
0.10, 0.30, 10.90067237810349
0.10, 0.35, 10.864258993695621
0.10, 0.40, 10.844538005261656
0.10, 0.45, 10.839590166526303
0.10, 0.50, 10.848566747201524
0.10, 0.55, 10.871475983882728
0.10, 0.60, 10.909160625740657
0.10, 0.65, 10.963450662589855
0.10, 0.70, 11.03755843906877
0.10, 0.75, 11.136924351035905
0.10, 0.80, 11.271084486406266
0.10, 0.85, 11.458332125776924
0.10, 0.90, 11.740195826111922
0.10, 0.95, 12.249825697996448
0.15, 0.05, 11.368371560146736
0.15, 0.10, 11.068003923447105
0.15, 0.15, 10.894066652315797
0.15, 0.20, 10.779655381472473
0.15, 0.25, 10.701336365684643
0.15, 0.30, 10.64820820122604
0.15, 0.35, 10.614475094581447
0.15, 0.40, 10.596888510601111
0.15, 0.45, 10.59368729416622
0.15, 0.50, 10.60412426886156
0.15, 0.55, 10.628276147539342
0.15, 0.60, 10.667033678406677
0.15, 0.65, 10.722261585478973
0.15, 0.70, 10.797198029167198
0.15, 0.75, 10.897303036017625
0.15, 0.80, 11.032127921503099
0.15, 0.85, 11.219977988906203
0.15, 0.90, 11.5023914409727
0.15, 0.95, 12.01252624342103
0.20, 0.05, 11.144000805227066
0.20, 0.10, 10.863275194125755
0.20, 0.15, 10.699044824750741
0.20, 0.20, 10.590651619986069
0.20, 0.25, 10.516506881767612
0.20, 0.30, 10.466479250581894
0.20, 0.35, 10.435158862492937
0.20, 0.40, 10.419514504897164
0.20, 0.45, 10.417917809844973
0.20, 0.50, 10.429707820869496
0.20, 0.55, 10.455019944253094
0.20, 0.60, 10.494786431683247
0.20, 0.65, 10.550902293662082
0.20, 0.70, 10.626628391340102
0.20, 0.75, 10.727442169746467
0.20, 0.80, 10.862908596582415
0.20, 0.85, 11.051343892715773
0.20, 0.90, 11.334295169105003
0.20, 0.95, 11.844927818794902
0.25, 0.05, 10.965695125130363
0.25, 0.10, 10.701357787703085
0.25, 0.15, 10.545496088640737
0.25, 0.20, 10.442400068944094
0.25, 0.25, 10.371986206619232
0.25, 0.30, 10.324763721100146
0.25, 0.35, 10.295648537855536
0.25, 0.40, 10.281795066895521
0.25, 0.45, 10.281689472256284
0.25, 0.50, 10.294745791247239
0.25, 0.55, 10.321150862360035
0.25, 0.60, 10.361873554856814
0.25, 0.65, 10.418835775851186
0.25, 0.70, 10.495318682357581
0.25, 0.75, 10.596815410397186
0.25, 0.80, 10.732903341793575
0.25, 0.85, 10.921908754276568
0.25, 0.90, 11.205387126248056
0.25, 0.95, 11.71651104788817
0.30, 0.05, 10.817919121290823
0.30, 0.10, 10.567630361083445
0.30, 0.15, 10.419133843598315
0.30, 0.20, 10.320779679012679
0.30, 0.25, 10.253748122774406
0.30, 0.30, 10.20909470238929
0.30, 0.35, 10.182016514134459
0.30, 0.40, 10.169829716054126
0.30, 0.45, 10.171121081298791
0.30, 0.50, 10.185370984833488
0.30, 0.55, 10.212812042765984
0.30, 0.60, 10.25444590108491
0.30, 0.65, 10.312218673376789
0.30, 0.70, 10.389429884963057
0.30, 0.75, 10.491586963517388
0.30, 0.80, 10.628278691918629
0.30, 0.85, 10.81784069789665
0.30, 0.90, 11.101836397050892
0.30, 0.95, 11.613445450250836
0.35, 0.05, 10.692148264290743
0.35, 0.10, 10.454138064386509
0.35, 0.15, 10.312221381782418
0.35, 0.20, 10.218164715141457
0.35, 0.25, 10.154231827902933
0.35, 0.30, 10.111952710402694
0.35, 0.35, 10.086771096358405
0.35, 0.40, 10.076146182493517
0.35, 0.45, 10.078754326688937
0.35, 0.50, 10.094135326589027
0.35, 0.55, 10.122563023660781
0.35, 0.60, 10.165068726793356
0.35, 0.65, 10.223620560410644
0.35, 0.70, 10.301534833883897
0.35, 0.75, 10.4043321073563
0.35, 0.80, 10.541611718003484
0.35, 0.85, 10.731718048126204
0.35, 0.90, 11.016222092503403
0.35, 0.95, 11.528310513126131
0.40, 0.05, 10.583210792491998
0.40, 0.10, 10.356090656081177
0.40, 0.15, 10.220120035039757
0.40, 0.20, 10.12999545073526
0.40, 0.25, 10.06892461298798
0.40, 0.30, 10.028855393409778
0.40, 0.35, 10.0054506073218
0.40, 0.40, 9.99629740165807
0.40, 0.45, 10.000152749037484
0.40, 0.50, 10.01661020092736
0.40, 0.55, 10.045981068163794
0.40, 0.60, 10.08932373905066
0.40, 0.65, 10.148626518115378
0.40, 0.70, 10.227221171503501
0.40, 0.75, 10.330640415604014
0.40, 0.80, 10.468493424200611
0.40, 0.85, 10.65913282580971
0.40, 0.90, 10.944136889613398
0.40, 0.95, 11.456699242122086
0.45, 0.05, 10.487764298133442
0.45, 0.10, 10.270414766293353
0.45, 0.15, 10.139866720421239
0.45, 0.20, 10.053367413549022
0.45, 0.25, 9.99495745180347
0.45, 0.30, 9.956956900729844
0.45, 0.35, 9.935225152302818
0.45, 0.40, 9.927464866266988
0.45, 0.45, 9.932506178471186
0.45, 0.50, 9.949991653919342
0.45, 0.55, 9.9802669145253
0.45, 0.60, 10.024415245493383
0.45, 0.65, 10.084443578887015
0.45, 0.70, 10.163698008339448
0.45, 0.75, 10.267722573294837
0.45, 0.80, 10.406135669322017
0.45, 0.85, 10.597297733529667
0.45, 0.90, 10.88279404727997
0.45, 0.95, 11.395825185562721
0.50, 0.05, 10.403570640825338
0.50, 0.10, 10.195069537451015
0.50, 0.15, 10.069503679360354
0.50, 0.20, 9.986367797196953
0.50, 0.25, 9.930445091546817
0.50, 0.30, 9.894390195447507
0.50, 0.35, 9.87424035667988
0.50, 0.40, 9.867803316604613
0.50, 0.45, 9.873976081596537
0.50, 0.50, 9.89244620359922
0.50, 0.55, 9.923590919529943
0.50, 0.60, 9.968516540820001
0.50, 0.65, 10.029247292126527
0.50, 0.70, 10.109142621362013
0.50, 0.75, 10.213757171850235
0.50, 0.80, 10.352718029514428
0.50, 0.85, 10.54439306108925
0.50, 0.90, 10.830374333546175
0.50, 0.95, 11.34386936836558
0.55, 0.05, 10.329122408657767
0.55, 0.10, 10.128696746345117
0.55, 0.15, 10.0077370477872
0.55, 0.20, 9.927738107671226
0.55, 0.25, 9.874150980392196
0.55, 0.30, 9.839933376313077
0.55, 0.35, 9.82128459113724
0.55, 0.40, 9.816108574946746
0.55, 0.45, 9.823363818839852
0.55, 0.50, 9.842779397227636
0.55, 0.55, 9.874761832001303
0.55, 0.60, 9.920438838263312
0.55, 0.65, 9.981850772257125
0.55, 0.70, 10.062369588377592
0.55, 0.75, 10.167559907009565
0.55, 0.80, 10.3070570414715
0.55, 0.85, 10.499235958383895
0.55, 0.90, 10.785695314407349
0.55, 0.95, 11.299649586093889
0.60, 0.05, 10.263447848133158
0.60, 0.10, 10.070440308892522
0.60, 0.15, 9.953761709846885
0.60, 0.20, 9.876701642685518
0.60, 0.25, 9.825316235340084
0.60, 0.30, 9.792839565294354
0.60, 0.35, 9.775619460539705
0.60, 0.40, 9.771648443264162
0.60, 0.45, 9.779941827909955
0.60, 0.50, 9.800267198530703
0.60, 0.55, 9.833058327510743
0.60, 0.60, 9.87946291222823
0.60, 0.65, 9.941536421024287
0.60, 0.70, 10.022662569405878
0.60, 0.75, 10.128415403853571
0.60, 0.80, 10.26843805894238
0.60, 0.85, 10.461112313076763
0.60, 0.90, 10.748043243383725
0.60, 0.95, 11.262452298723176
0.65, 0.05, 10.20602416398041
0.65, 0.10, 10.01986898453733
0.65, 0.15, 9.907187540410122
0.65, 0.20, 9.832891497890953
0.65, 0.25, 9.78358866009192
0.65, 0.30, 9.752766556601618
0.65, 0.35, 9.736909869077792
0.65, 0.40, 9.734093053377167
0.65, 0.45, 9.743384174479008
0.65, 0.50, 9.764586682166055
0.65, 0.55, 9.798159807340975
0.65, 0.60, 9.845269973929083
0.65, 0.65, 9.907986859782733
0.65, 0.70, 9.989705280987595
0.65, 0.75, 10.096008222215845
0.65, 0.80, 10.236546280750382
0.65, 0.85, 10.429707794114282
0.65, 0.90, 10.71710411407853
0.65, 0.95, 11.2319636865943
0.70, 0.05, 10.156779487577424
0.70, 0.10, 9.976984647142116
0.70, 0.15, 9.86805010116871
0.70, 0.20, 9.79636248898689
0.70, 0.25, 9.749035377925372
0.70, 0.30, 9.71978989692158
0.70, 0.35, 9.705237397708169
0.70, 0.40, 9.703528449350763
0.70, 0.45, 9.713780279661512
0.70, 0.50, 9.73582986580061
0.70, 0.55, 9.770160306917868
0.70, 0.60, 9.817955636025024
0.70, 0.65, 9.881298935718311
0.70, 0.70, 9.963595533263236
0.70, 0.75, 10.070436916618567
0.70, 0.80, 10.211480827422578
0.70, 0.85, 10.405121939957922
0.70, 0.90, 10.692977755400248
0.70, 0.95, 11.208283748403245
0.75, 0.05, 10.11620652715789
0.75, 0.10, 9.94234029398452
0.75, 0.15, 9.836930361993465
0.75, 0.20, 9.76771174998725
0.75, 0.25, 9.722263943320359
0.75, 0.30, 9.694524322781746
0.75, 0.35, 9.681221959455232
0.75, 0.40, 9.68057839403441
0.75, 0.45, 9.69175683423021
0.75, 0.50, 9.714625702357429
0.75, 0.55, 9.749690545274369
0.75, 0.60, 9.79815200434206
0.75, 0.65, 9.862105844906461
0.75, 0.70, 9.94496737630128
0.75, 0.75, 10.052336199839537
0.75, 0.80, 10.193876917377656
0.75, 0.85, 10.387990343641418
0.75, 0.90, 10.676300022093494
0.75, 0.95, 11.19204849401238
0.80, 0.05, 10.085688446555746
0.80, 0.10, 9.91736902058236
0.80, 0.15, 9.815284915509153
0.80, 0.20, 9.748409590330912
0.80, 0.25, 9.704753578630998
0.80, 0.30, 9.678455239875436
0.80, 0.35, 9.66635344214279
0.80, 0.40, 9.666736125857843
0.80, 0.45, 9.678809637059267
0.80, 0.50, 9.702471977919988
0.80, 0.55, 9.738249866748864
0.80, 0.60, 9.787359652034292
0.80, 0.65, 9.851909130603685
0.80, 0.70, 9.935323116323895
0.80, 0.75, 10.043208972430639
0.80, 0.80, 10.18523790619196
0.80, 0.85, 10.379816698930338
0.80, 0.90, 10.668574845252692
0.80, 0.95, 11.184761996856606
0.85, 0.05, 10.068372639369347
0.85, 0.10, 9.905260045037297
0.85, 0.15, 9.806322918528132
0.85, 0.20, 9.741676916984439
0.85, 0.25, 9.69973288252275
0.85, 0.30, 9.674816615828966
0.85, 0.35, 9.663869726053504
0.85, 0.40, 9.66524246414735
0.85, 0.45, 9.678181763500156
0.85, 0.50, 9.702613526249054
0.85, 0.55, 9.73908448962993
0.85, 0.60, 9.788825893619116
0.85, 0.65, 9.853956976208762
0.85, 0.70, 9.937911622758088
0.85, 0.75, 10.046304640213545
0.85, 0.80, 10.188813611758482
0.85, 0.85, 10.38385113093224
0.85, 0.90, 10.673052566429657
0.85, 0.95, 11.189674729632866
0.90, 0.05, 10.071941259995508
0.90, 0.10, 9.913730907383993
0.90, 0.15, 9.817778982599089
0.90, 0.20, 9.755258491097342
0.90, 0.25, 9.714953306437573
0.90, 0.30, 9.691364599096588
0.90, 0.35, 9.68153039987856
0.90, 0.40, 9.683859593544033
0.90, 0.45, 9.697637399289746
0.90, 0.50, 9.722816099062078
0.90, 0.55, 9.759961403446164
0.90, 0.60, 9.810318702440027
0.90, 0.65, 9.876018137805765
0.90, 0.70, 9.960502272028366
0.90, 0.75, 10.06939306641418
0.90, 0.80, 10.212374272540924
0.90, 0.85, 10.407864158723772
0.90, 0.90, 10.697503903103119
0.90, 0.95, 11.214557531101924
0.95, 0.05, 10.121766103596878
0.95, 0.10, 9.968183608330854
0.95, 0.15, 9.875069842289232
0.95, 0.20, 9.814579879571195
0.95, 0.25, 9.775846277510077
0.95, 0.30, 9.75353475358484
0.95, 0.35, 9.744774071865958
0.95, 0.40, 9.748028429401025
0.95, 0.45, 9.762619245336198
0.95, 0.50, 9.78852379988813
0.95, 0.55, 9.826325824500914
0.95, 0.60, 9.877284182445067
0.95, 0.65, 9.943539428123747
0.95, 0.70, 10.028542440615604
0.95, 0.75, 10.137922071480384
0.95, 0.80, 10.281368052356662
0.95, 0.85, 10.477304203678045
0.95, 0.90, 10.767377459346685
0.95, 0.95, 11.284859117885485
