lambda_1, lambda_2, entropy
0.05, 0.05, 12.155304309814184
0.05, 0.10, 11.9763720246976
0.05, 0.15, 11.849995898127972
0.05, 0.20, 11.754324100831784
0.05, 0.25, 11.679175672245684
0.05, 0.30, 11.618967203659869
0.05, 0.35, 11.570323091871982
0.05, 0.40, 11.531075262404324
0.05, 0.45, 11.499784134059917
0.05, 0.50, 11.475488645614245
0.05, 0.55, 11.45757043754702
0.05, 0.60, 11.445682722883205
0.05, 0.65, 11.439723031674758
0.05, 0.70, 11.439845469714736
0.05, 0.75, 11.446524227508839
0.05, 0.80, 11.46070986415342
0.05, 0.85, 11.484204552371901
0.05, 0.90, 11.520716524440411
0.05, 0.95, 11.580180776156057
0.10, 0.05, 11.58478390922508
0.10, 0.10, 11.573477275110877
0.10, 0.15, 11.554764504036564
0.10, 0.20, 11.532399787463941
0.10, 0.25, 11.508436824803411
0.10, 0.30, 11.484126246934832
0.10, 0.35, 11.460285198733017
0.10, 0.40, 11.437479747123318
0.10, 0.45, 11.416126547816663
0.10, 0.50, 11.39655552020883
0.10, 0.55, 11.379052868998132
0.10, 0.60, 11.363895054699848
0.10, 0.65, 11.351381167445963
0.10, 0.70, 11.341871387798285
0.10, 0.75, 11.335843533775538
0.10, 0.80, 11.333993275279356
0.10, 0.85, 11.337447132237632
0.10, 0.90, 11.348332232072169
0.10, 0.95, 11.372055744333474
0.15, 0.05, 11.371961278072366
0.15, 0.10, 11.364362344206098
0.15, 0.15, 11.352891717574913
0.15, 0.20, 11.339243233381627
0.15, 0.25, 11.32440818994723
0.15, 0.30, 11.30904000838534
0.15, 0.35, 11.293605232522422
0.15, 0.40, 11.278459216828079
0.15, 0.45, 11.263889601452497
0.15, 0.50, 11.250144490356982
0.15, 0.55, 11.23745329968674
0.15, 0.60, 11.226044907260743
0.15, 0.65, 11.216166802912054
0.15, 0.70, 11.208109711108772
0.15, 0.75, 11.202245434220428
0.15, 0.80, 11.199095109910612
0.15, 0.85, 11.199474798619246
0.15, 0.90, 11.204884024375142
0.15, 0.95, 11.219053186112385
0.20, 0.05, 11.217759179545089
0.20, 0.10, 11.211750976402136
0.20, 0.15, 11.203205873874541
0.20, 0.20, 11.193164000859811
0.20, 0.25, 11.182250176358659
0.20, 0.30, 11.170888733092784
0.20, 0.35, 11.159392953864783
0.20, 0.40, 11.148010208495906
0.20, 0.45, 11.136948202455496
0.20, 0.50, 11.126392375864985
0.20, 0.55, 11.116519251870486
0.20, 0.60, 11.107508631287875
0.20, 0.65, 11.099557112179529
0.20, 0.70, 11.09289614428018
0.20, 0.75, 11.087820394634022
0.20, 0.80, 11.084739411098885
0.20, 0.85, 11.084288120309695
0.20, 0.90, 11.0876215476267
0.20, 0.95, 11.097586103826062
0.25, 0.05, 11.095873233972725
0.25, 0.10, 11.090815343635633
0.25, 0.15, 11.083912568255972
0.25, 0.20, 11.07589366201437
0.25, 0.25, 11.067203446515439
0.25, 0.30, 11.058149303522134
0.25, 0.35, 11.048962547309912
0.25, 0.40, 11.039829601115258
0.25, 0.45, 11.030910305481477
